rule_order,stage,detail_category,parent_category,include_group,exclude_group,main_source,n_include_patterns,n_exclude_patterns,include_patterns_readable,exclude_patterns_readable,include_patterns_raw,exclude_patterns_raw
11,1,jeans,bottoms,PAT_BOTTOMS_JEANS,,category/name/description,9,0,skinny jeans ; straight jeans ; wide-leg jeans ; mom jeans ; boyfriend jeans ; flared jeans ; denim jeans ; jeggings ; jeans,,\bskinny jeans\b ; \bstraight jeans\b ; \bwide[- ]leg jeans\b ; \bmom jeans\b ; \bboyfriend jeans\b ; \bflared jeans\b ; \bdenim jeans\b ; \bjegging(?:s)?\b ; \bjeans\b,
12,1,leggings,bottoms,PAT_BOTTOMS_LEGGINGS,,category/name/description,19,0,leggings ; jeggings ; treggings ; running tights ; training tights ; gym tights ; sport tights ; sports tights ; base layer tights ; thermal tights ; heattech tights ; ski tights ; compression tights ; performance tights ; workout tights ; active tights ; activewear tights ; yoga tights ; cycling tights,,\blegging(?:s)?\b ; \bjegging(?:s)?\b ; \btregging(?:s)?\b ; \brunning tight(?:s)?\b ; \btraining tight(?:s)?\b ; \bgym tight(?:s)?\b ; \bsport tight(?:s)?\b ; \bsports tight(?:s)?\b ; \bbase layer tight(?:s)?\b ; \bthermal tight(?:s)?\b ; \bheattech tight(?:s)?\b ; \bski tight(?:s)?\b ; \bcompression tight(?:s)?\b ; \bperformance tight(?:s)?\b ; \bworkout tight(?:s)?\b ; \bactive tight(?:s)?\b ; \bactivewear tight(?:s)?\b ; \byoga tight(?:s)?\b ; \bcycling tight(?:s)?\b,
13,1,joggers,bottoms,PAT_BOTTOMS_JOGGERS,,category/name/description,4,0,joggers ; sweatpants ; track pants ; trackies,,\bjogger(?:s)?\b ; \bsweatpant(?:s)?\b ; \btrack pant(?:s)?\b ; \btrackie(?:s)?\b,
14,1,skirts,bottoms,PAT_SKIRT,,category/name/description,5,0,mini skirts ; midi skirts ; maxi skirts ; skorts ; skirts,,\bmini skirt(?:s)?\b ; \bmidi skirt(?:s)?\b ; \bmaxi skirt(?:s)?\b ; \bskort(?:s)?\b ; \bskirt(?:s)?\b,
15,1,shorts,bottoms,PAT_BOTTOMS_SHORTS,,category/name/description,6,0,sweatshorts ; bermuda shorts ; cycling shorts ; paper bag shorts ; shorts sets ; shorts,,\bsweatshort(?:s)?\b ; \bbermuda short(?:s)?\b ; \bcycling short(?:s)?\b ; \bpaper bag short(?:s)?\b ; \bshort(?:s)? set(?:s)?\b ; \bshorts\b,
16,1,trousers,bottoms,PAT_BOTTOMS_TROUSERS,,category/name/description,12,0,trousers ; pants ; chinos ; cargos ; culottes ; flared trousers ; flared pants ; tailored trousers ; suit pants ; wide-leg pants ; wide-leg trousers ; breeches,,\btrouser(?:s)?\b ; \bpant(?:s)?\b ; \bchino(?:s)?\b ; \bcargo(?:s)?\b ; \bculotte(?:s)?\b ; \bflared trouser(?:s)?\b ; \bflared pant(?:s)?\b ; \btailored trouser(?:s)?\b ; \bsuit pant(?:s)?\b ; \bwide[- ]leg pant(?:s)?\b ; \bwide[- ]leg trouser(?:s)?\b ; \bbreeches\b,
17,1,outerwear_gilet,tops,PAT_OUTERWEAR_GILET,,category/name/description,31,0,gilets ; waistcoats ; puffer vests ; quilted vests ; teddy vests ; fluffy vests ; padded vests ; windproof vests ; fleece vests ; thermal vests ; ski vests ; running vests ; pile vests ; activewear vests ; corduroy vests ; lined vests ; linen vests ; pufftech vest ; puffertech vest ; pufftech blouson ; puffertech blouson ; pufftech washable vest ; puffertech washable vest ; pufftech compact vest ; puffertech compact vest ; pufftech seamless vest ; puffertech seamless vest ; pufftech cropped vest ; puffertech cropped vest ; pufftech short blouson ; puffertech short blouson,,\bgilet(?:s)?\b ; \bwaistcoat(?:s)?\b ; \bpuffer vest(?:s)?\b ; \bquilted vest(?:s)?\b ; \bteddy vest(?:s)?\b ; \bfluffy vest(?:s)?\b ; \bpadded vest(?:s)?\b ; \bwindproof vest(?:s)?\b ; \bfleece vest(?:s)?\b ; \bthermal vest(?:s)?\b ; \bski vest(?:s)?\b ; \brunning vest(?:s)?\b ; \bpile vest(?:s)?\b ; \bactivewear vest(?:s)?\b ; \bcorduroy vest(?:s)?\b ; \blined vest(?:s)?\b ; \blinen vest(?:s)?\b ; \bpufftech vest\b ; \bpuffertech vest\b ; \bpufftech blouson\b ; \bpuffertech blouson\b ; \bpufftech washable vest\b ; \bpuffertech washable vest\b ; \bpufftech compact vest\b ; \bpuffertech compact vest\b ; \bpufftech seamless vest\b ; \bpuffertech seamless vest\b ; \bpufftech cropped vest\b ; \bpuffertech cropped vest\b ; \bpufftech short blouson\b ; \bpuffertech short blouson\b,
18,1,outerwear_jacket,tops,PAT_OUTERWEAR_JACKET,,category/name/description,8,0,jackets ; blazers ; bombers ; windbreakers ; fleece jackets ; shackets ; blousons ; trucker jackets,,\bjacket(?:s)?\b ; \bblazer(?:s)?\b ; \bbomber(?:s)?\b ; \bwindbreaker(?:s)?\b ; \bfleece jacket(?:s)?\b ; \bshacket(?:s)?\b ; \bblouson(?:s)?\b ; \btrucker jacket(?:s)?\b,
19,1,outerwear_coat,tops,PAT_OUTERWEAR_COAT,,category/name/description,11,0,puffer coats ; trench coats ; cape coats ; caped coats ; coats ; parkas ; overcoats ; anoraks ; macs ; ponchos ; trenchcoat,,\bpuffer coat(?:s)?\b ; \btrench coat(?:s)?\b ; \bcape coat(?:s)?\b ; \bcaped coat(?:s)?\b ; \bcoat(?:s)?\b ; \bparka(?:s)?\b ; \bovercoat(?:s)?\b ; \banorak(?:s)?\b ; \bmac(?:s)?\b ; \bponcho(?:s)?\b ; \btrenchcoat\b,
20,1,sweatshirt_hoodie,tops,PAT_SWEATSHIRT_HOODIE,,category/name/description,6,0,hoodies ; sweatshirts ; sweats ; crewneck sweatshirts ; hooded sweatshirts ; zip-up hoodies,,\bhoodie(?:s)?\b ; \bsweatshirt(?:s)?\b ; \bsweat(?:s)?\b ; \bcrewneck sweatshirt(?:s)?\b ; \bhooded sweatshirt(?:s)?\b ; \bzip[- ]up hoodie(?:s)?\b,
